mindate,maxdate,name,datacoverage,id
1900-09-25,2021-04-20,"Yukon Flats Nat Wildlife, AK 00002",1.0,ZIP:00002
1927-07-01,2021-04-20,"Alaska Peninsula NWR, AK 00003",1.0,ZIP:00003
1936-07-01,2021-04-19,"W Kenai Peninsula Boroug, AK 00004",1.0,ZIP:00004
1940-04-01,2021-04-20,"N Lake and Peninsula Bor, AK 00005",1.0,ZIP:00005
1918-01-01,2021-04-20,"Matanuska-Sustina Bor, AK 00006",1.0,ZIP:00006
1931-01-01,2021-04-20,"Southerly North Slope Bo, AK 00007",1.0,ZIP:00007
1992-06-23,2021-04-20,"Lake Clark National Pres, AK 00009",1.0,ZIP:00009
1983-07-01,2021-04-19,"Kenai Ntl Wildlife Ref, AK 00011",1.0,ZIP:00011
1959-05-01,2021-04-20,"Lassen Ntl Forest, CA 00019",1.0,ZIP:00019
1952-11-01,2021-04-20,"East Tulare County, CA 00026",1.0,ZIP:00026
1894-05-11,2021-04-19,"Pike Ntl Forest, CO 00027",1.0,ZIP:00027
1978-09-30,2021-04-19,"Tahoe National Forest, CA 00033",1.0,ZIP:00033
1991-03-06,2021-04-20,"Modoc/Shasta/Klamath for, CA 00035",0.9632,ZIP:00035
1930-05-01,2021-04-20,"Southeast Trinity County, CA 00039",1.0,ZIP:00039
1978-09-30,2021-04-19,"South Alpine County, CA 00044",1.0,ZIP:00044
1907-04-02,2021-04-20,"Mendocino Ntl Forest, CA 00048",1.0,ZIP:00048
2002-11-01,2021-04-20,"Southwest Palm Beach Co, FL 00053",1.0,ZIP:00053
1959-11-01,2021-04-20,"Six Rivers Ntl Forest, CA 00054",0.9818,ZIP:00054
1935-07-01,2021-04-19,"Snake Riv Birds of Prey, ID 00056",1.0,ZIP:00056
1894-03-01,2021-04-20,"Channel Islands National Pk, CA 00057",1.0,ZIP:00057
1933-08-01,2021-04-20,"Channel Is Air Guard Station, CA 00061",1.0,ZIP:00061
1906-01-01,2021-04-20,"N Central Comanche Cnty, OK 00067",1.0,ZIP:00067
1909-06-01,2021-04-20,"Willamette National for, OR 00069",1.0,ZIP:00069
1920-12-01,2021-04-20,"Mt Hood National Forest, OR 00070",1.0,ZIP:00070
1893-05-01,2021-04-20,"Uinta Ntl Forest, UT 00071",1.0,ZIP:00071
1916-12-01,2021-04-19,"National Forest/Park, WA 00072",1.0,ZIP:00072
1909-08-01,2021-04-19,"Yakima Indian Res, WA 00074",1.0,ZIP:00074
1913-06-01,2021-04-19,"Okanogan Natl Park, WA 00076",1.0,ZIP:00076
1979-08-13,2021-04-20,"Willamette Natl Forest, OR 00077",1.0,ZIP:00077
1915-08-10,2021-04-19,"Wasatch National Forest, UT 00100",1.0,ZIP:00100
1989-10-01,2021-04-20,"North Somerset County, ME 00132",1.0,ZIP:00132
1971-09-01,2021-04-20,"Superior National Forest, MN 00160",0.9884,ZIP:00160
2001-10-01,2021-04-16,"Beltrami Isl State for, MN 00165",0.9779,ZIP:00165
1947-03-01,2021-04-19,"Sargents Purchase, NH 00176",1.0,ZIP:00176
1930-01-01,2021-04-20,"Pinkham Grant, NH 00177",1.0,ZIP:00177
1936-06-01,2021-04-19,"E Mncplty of Anchorage, AK 00198",1.0,ZIP:00198
1955-01-01,2021-04-19,"Adjuntas, PR 00601",1.0,ZIP:00601
1955-01-01,2021-04-20,"Aguada, PR 00602",0.9903,ZIP:00602
1955-01-01,2021-04-19,"Maricao, PR 00606",1.0,ZIP:00606
1955-01-01,2021-04-20,"Arecibo, PR 00612",1.0,ZIP:00612
1955-01-01,2021-04-17,"Cabo Rojo, PR 00623",1.0,ZIP:00623
1955-01-01,2021-04-20,"Guanica, PR 00653",1.0,ZIP:00653
1970-06-01,2021-04-20,"Hatillo, PR 00659",0.892,ZIP:00659
1955-01-01,2021-04-14,"Isabela, PR 00662",1.0,ZIP:00662
1955-01-01,2021-04-20,"Lajas, PR 00667",1.0,ZIP:00667
1955-01-01,2021-04-20,"Lares, PR 00669",1.0,ZIP:00669
2007-08-01,2021-04-20,"Las Marias, PR 00670",0.8327,ZIP:00670
2016-06-18,2021-04-18,"Moca, PR 00676",1.0,ZIP:00676
1957-11-01,2021-04-20,"Rincon, PR 00677",1.0,ZIP:00677
1955-01-01,2021-04-20,"Quebradillas, PR 00678",1.0,ZIP:00678
1957-01-01,2021-04-20,"Mayaguez, PR 00680",1.0,ZIP:00680
2014-06-29,2021-04-20,"San Antonio, PR 00690",0.2943,ZIP:00690
2009-06-01,2021-04-19,"Vega Baja, PR 00693",1.0,ZIP:00693
1955-01-01,2021-04-20,"Aguirre, PR 00704",1.0,ZIP:00704
1955-01-01,2021-04-20,"Aibonito, PR 00705",1.0,ZIP:00705
1980-01-02,2021-04-19,"Ponce, PR 00716",0.9972,ZIP:00716
1955-01-01,2021-04-20,"Naguabo, PR 00718",1.0,ZIP:00718
2014-10-14,2021-04-18,"Ponce, PR 00728",0.966,ZIP:00728
1955-01-01,2021-04-17,"Canovanas, PR 00729",1.0,ZIP:00729
1947-07-01,2021-04-19,"Ceiba, PR 00735",1.0,ZIP:00735
1951-03-01,2021-04-20,"Santa Isabel, PR 00757",1.0,ZIP:00757
1955-01-01,2021-04-08,"Villalba, PR 00766",1.0,ZIP:00766
1955-01-01,2021-04-16,"Culebra, PR 00775",1.0,ZIP:00775
1955-01-01,2021-04-20,"Juncos, PR 00777",0.9897,ZIP:00777
1955-01-01,2021-04-19,"Guayama, PR 00784",1.0,ZIP:00784
1955-01-01,2021-04-18,"Humacao, PR 00791",0.9186,ZIP:00791
1955-01-01,2021-04-14,"Juana Diaz, PR 00795",1.0,ZIP:00795
1938-02-01,2021-04-20,"St Thomas, VI 00802",1.0,ZIP:00802
1972-01-01,2021-04-20,"Christiansted, VI 00820",1.0,ZIP:00820
1972-01-01,2021-04-20,"St John, VI 00830",1.0,ZIP:00830
1938-11-01,2021-04-20,"Frederiksted, VI 00840",1.0,ZIP:00840
1955-01-01,2021-04-20,"Toa Baja, PR 00949",1.0,ZIP:00949
1957-02-01,2021-04-20,"Trujillo Alto, PR 00976",1.0,ZIP:00976
1955-05-01,2021-04-19,"Carolina, PR 00979",1.0,ZIP:00979
2020-08-09,2021-04-20,"Agawam, MA 01001",1.0,ZIP:01001
2008-10-21,2021-04-20,"Amherst, MA 01003",0.9837,ZIP:01003
1959-02-01,2021-04-20,"Barre, MA 01005",0.9585,ZIP:01005
1948-06-01,2021-04-20,"Belchertown, MA 01007",1.0,ZIP:01007
1948-08-24,2021-04-16,"Brimfield, MA 01010",1.0,ZIP:01010
2010-10-06,2021-04-20,"Easthampton, MA 01027",0.9301,ZIP:01027
2020-04-24,2021-04-17,"East Longmeadow, MA 01028",0.9415,ZIP:01028
1925-04-01,2021-04-18,"Gilbertville, MA 01031",0.9558,ZIP:01031
2020-03-16,2021-04-20,"Hampden, MA 01036",0.9865,ZIP:01036
1886-02-01,2021-04-17,"Holyoke, MA 01040",1.0,ZIP:01040
2009-10-01,2021-04-20,"Leverett, MA 01054",0.9577,ZIP:01054
1893-01-01,2021-04-20,"Florence, MA 01062",1.0,ZIP:01062
1903-04-01,2021-04-20,"Plainfield, MA 01070",1.0,ZIP:01070
2007-05-01,2021-04-19,"Southwick, MA 01077",1.0,ZIP:01077
1926-01-01,2021-04-20,"Westfield, MA 01085",1.0,ZIP:01085
1948-08-01,2021-04-18,"West Springfield, MA 01089",1.0,ZIP:01089
